trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
undetermined,quite proud,DE,local region,own country,female (housewife),13,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,quite proud,C1,the whole world,own town,female (housewife),14,small buisnessowner,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,DE,own town,local region,female (housewife),18,jun. lvl. non-manual,18,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,AB,own town,own country,female (housewife),35,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own town,own country,male,24,unskilled manual,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,not very proud,C2,own country,own town,male,58,skilled manual,19,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,C1,the whole world,own country,male,57,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own town,NA,female (working),53,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,own country,male,52,small buisnessowner,18,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,DE,own town,local region,female (working),31,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
can't be too careful,quite proud,C1,own town,local region,female (housewife),97,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own country,NA,male,24,semi-skilled manual,14,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own town,local region,male,45,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,the whole world,NA,male,16,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,AB,own country,local region,male,12,small buisnessowner,21 or over,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
undetermined,not very proud,DE,own town,own country,male,56,semi-skilled manual,19,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,DE,Europe,own country,female (housewife),25,unskilled manual,13,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own town,own country,male,40,farmers,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own country,Europe,female (housewife),17,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,own town,female (housewife),37,farmers,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,own country,Europe,female (housewife),50,mdl. lvl. non-manual,19,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C1,own country,own town,female (working),62,unskilled manual,18,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,C2,own country,own town,male,32,skilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,own town,female (housewife),24,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,AB,the whole world,own country,male,24,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,DE,own town,own country,male,12,unskilled manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,AB,own town,own country,female (housewife),10,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,own country,male,13,farmers,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,local region,own country,female (housewife),14,farmers,18,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,checked,checked
most can be trusted,quite proud,DE,own town,local region,female (housewife),97,unskilled manual,18,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C2,own town,own country,female (housewife),25,semi-skilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C2,own country,own town,male,54,supervisor manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,local region,own country,female (housewife),15,farmers,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,local region,male,45,unskilled manual,15,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,local region,own country,male,20,skilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,C1,own town,own country,female (housewife),33,NA,13,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,AB,own town,local region,female (housewife),26,farmers,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,C2,own town,own country,male,53,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C2,NA,NA,female (housewife),5,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,DE,own country,the whole world,male,51,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own town,own country,female (working),58,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not very proud,C1,own town,own country,female (housewife),59,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,the whole world,Europe,male,52,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own town,own country,female (working),47,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,AB,own town,own country,male,27,mdl. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own town,own country,male,42,semi-skilled manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not at all proud,C2,own town,own country,female (working),29,skilled manual,19,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C2,own town,own country,female (housewife),11,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own town,local region,female (housewife),16,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,C1,local region,own country,female (working),45,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,DE,local region,own country,female (housewife),23,NA,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,"NA",DE,own town,own country,female (housewife),6,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,local region,own country,female (housewife),7,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,own country,male,7,small buisnessowner,12 or under,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,DE,the whole world,own country,female (housewife),12,unskilled manual,18,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own country,own town,male,57,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
undetermined,not very proud,C2,own country,the whole world,female (working),21,semi-skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,C2,own country,own town,female (working),37,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,the whole world,own country,male,51,mdl. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,DE,Europe,own country,male,63,unskilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own country,own town,female (working),38,unskilled manual,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,own country,local region,female (working),30,jun. lvl. non-manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,the whole world,female (housewife),21,jun. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,DE,local region,own country,male,43,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,C1,own town,own country,female (housewife),20,jun. lvl. non-manual,18,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,not very proud,C1,own town,the whole world,female (housewife),32,jun. lvl. non-manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,female (working),34,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not at all proud,C1,own town,own country,female (housewife),53,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own country,own town,female (working),42,unskilled manual,20,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
